"id","name","type","size","path","maker_date"
387,TS Kết cấu hạ tầng,FOLDER,-1,/Văn bản Phường Xuân Hoà/1. Phòng Kinh Tế - Hạ Tầng và Đô Thị/2. Tổ Tài chính - Ngân sách - Kinh tế/Chế độ/chế độ TSC bổ sung từ 15-6-2026/TS Kết cấu hạ tầng,2026-07-13 11:48:39.790 +0700
389,P.Xuân Hoà,FOLDER,-1,/Văn bản Phường Xuân Hoà/1. Phòng Kinh Tế - Hạ Tầng và Đô Thị/2. Tổ Tài chính - Ngân sách - Kinh tế/Chế độ/chế độ TSC bổ sung từ 15-6-2026/TS Kết cấu hạ tầng/P.Xuân Hoà,2026-07-13 11:48:39.808 +0700
388,UBND TP bàn giao tài sản kết cấu hạ tầng mảng xanh,FOLDER,-1,/Văn bản Phường Xuân Hoà/1. Phòng Kinh Tế - Hạ Tầng và Đô Thị/2. Tổ Tài chính - Ngân sách - Kinh tế/Chế độ/chế độ TSC bổ sung từ 15-6-2026/TS Kết cấu hạ tầng/UBND TP bàn giao tài sản kết cấu hạ tầng mảng xanh,2026-07-13 11:48:39.800 +0700
386,UBND P.Xuân Hòa,FOLDER,-1,/Văn bản Phường Xuân Hoà/1. Phòng Kinh Tế - Hạ Tầng và Đô Thị/2. Tổ Tài chính - Ngân sách - Kinh tế/Chế độ/chế độ TSC bổ sung từ 15-6-2026/UBND P.Xuân Hòa,2026-07-13 11:48:39.782 +0700
385,UBND TP,FOLDER,-1,/Văn bản Phường Xuân Hoà/1. Phòng Kinh Tế - Hạ Tầng và Đô Thị/2. Tổ Tài chính - Ngân sách - Kinh tế/Chế độ/chế độ TSC bổ sung từ 15-6-2026/UBND TP,2026-07-13 11:48:39.773 +0700
380,Văn thư,FOLDER,-1,/Văn bản Phường Xuân Hoà/1. Phòng Kinh Tế - Hạ Tầng và Đô Thị/2. Tổ Tài chính - Ngân sách - Kinh tế/Chế độ/chế độ TSC bổ sung từ 15-6-2026/Văn thư,2026-07-13 11:48:39.724 +0700
384,Bí mật nhà nước,FOLDER,-1,/Văn bản Phường Xuân Hoà/1. Phòng Kinh Tế - Hạ Tầng và Đô Thị/2. Tổ Tài chính - Ngân sách - Kinh tế/Chế độ/chế độ TSC bổ sung từ 15-6-2026/Văn thư/Bí mật nhà nước,2026-07-13 11:48:39.764 +0700
381,phát hành sai văn bản,FOLDER,-1,/Văn bản Phường Xuân Hoà/1. Phòng Kinh Tế - Hạ Tầng và Đô Thị/2. Tổ Tài chính - Ngân sách - Kinh tế/Chế độ/chế độ TSC bổ sung từ 15-6-2026/Văn thư/phát hành sai văn bản,2026-07-13 11:48:39.736 +0700
382,P.VHXH báo cáo Văn thư,FOLDER,-1,/Văn bản Phường Xuân Hoà/1. Phòng Kinh Tế - Hạ Tầng và Đô Thị/2. Tổ Tài chính - Ngân sách - Kinh tế/Chế độ/chế độ TSC bổ sung từ 15-6-2026/Văn thư/P.VHXH báo cáo Văn thư,2026-07-13 11:48:39.744 +0700
383,Văn thư,FOLDER,-1,/Văn bản Phường Xuân Hoà/1. Phòng Kinh Tế - Hạ Tầng và Đô Thị/2. Tổ Tài chính - Ngân sách - Kinh tế/Chế độ/chế độ TSC bổ sung từ 15-6-2026/Văn thư/P.VHXH báo cáo Văn thư/Văn thư,2026-07-13 11:48:39.753 +0700
371,Tài sản,FOLDER,-1,/Văn bản Phường Xuân Hoà/1. Phòng Kinh Tế - Hạ Tầng và Đô Thị/2. Tổ Tài chính - Ngân sách - Kinh tế/Chế độ/Tài sản,2026-07-13 11:48:39.617 +0700
17041,Công văn về  Định giá tài sản,FOLDER,-1,/Văn bản Phường Xuân Hoà/1. Phòng Kinh Tế - Hạ Tầng và Đô Thị/2. Tổ Tài chính - Ngân sách - Kinh tế/Công văn về  Định giá tài sản,2026-06-18 21:09:49.095 +0700
17042,Công văn về giá,FOLDER,-1,/Văn bản Phường Xuân Hoà/1. Phòng Kinh Tế - Hạ Tầng và Đô Thị/2. Tổ Tài chính - Ngân sách - Kinh tế/Công văn về giá,2026-06-18 21:10:13.199 +0700
17043,Hộ kinh doanh,FOLDER,-1,/Văn bản Phường Xuân Hoà/1. Phòng Kinh Tế - Hạ Tầng và Đô Thị/2. Tổ Tài chính - Ngân sách - Kinh tế/Hộ kinh doanh,2026-06-18 21:10:55.577 +0700
17044,Hợp tác xã,FOLDER,-1,/Văn bản Phường Xuân Hoà/1. Phòng Kinh Tế - Hạ Tầng và Đô Thị/2. Tổ Tài chính - Ngân sách - Kinh tế/Hợp tác xã,2026-06-18 21:11:14.482 +0700
17045,Lĩnh vực kê khai giá,FOLDER,-1,/Văn bản Phường Xuân Hoà/1. Phòng Kinh Tế - Hạ Tầng và Đô Thị/2. Tổ Tài chính - Ngân sách - Kinh tế/Lĩnh vực kê khai giá,2026-06-18 21:11:33.048 +0700
17046,Lĩnh vực Tài chính - ngân sách,FOLDER,-1,/Văn bản Phường Xuân Hoà/1. Phòng Kinh Tế - Hạ Tầng và Đô Thị/2. Tổ Tài chính - Ngân sách - Kinh tế/Lĩnh vực Tài chính - ngân sách,2026-06-18 21:11:52.733 +0700
17047,"Văn bản PL hướng dẫn của bộ, ngành",FOLDER,-1,"/Văn bản Phường Xuân Hoà/1. Phòng Kinh Tế - Hạ Tầng và Đô Thị/2. Tổ Tài chính - Ngân sách - Kinh tế/Lĩnh vực Tài chính - ngân sách/Văn bản PL hướng dẫn của bộ, ngành",2026-06-18 21:11:52.745 +0700
17049,Văn bản PL riêng của Thành phố và địa phương,FOLDER,-1,/Văn bản Phường Xuân Hoà/1. Phòng Kinh Tế - Hạ Tầng và Đô Thị/2. Tổ Tài chính - Ngân sách - Kinh tế/Lĩnh vực Tài chính - ngân sách/Văn bản PL riêng của Thành phố và địa phương,2026-06-18 21:11:52.758 +0700
17048,Văn bản QPPL chung của Nhà nước,FOLDER,-1,/Văn bản Phường Xuân Hoà/1. Phòng Kinh Tế - Hạ Tầng và Đô Thị/2. Tổ Tài chính - Ngân sách - Kinh tế/Lĩnh vực Tài chính - ngân sách/Văn bản QPPL chung của Nhà nước,2026-06-18 21:11:52.751 +0700
17050,LUAT DAU THAU,FOLDER,-1,/Văn bản Phường Xuân Hoà/1. Phòng Kinh Tế - Hạ Tầng và Đô Thị/2. Tổ Tài chính - Ngân sách - Kinh tế/LUAT DAU THAU,2026-06-18 21:12:56.383 +0700
17051,LUAT DAU TU CONG,FOLDER,-1,/Văn bản Phường Xuân Hoà/1. Phòng Kinh Tế - Hạ Tầng và Đô Thị/2. Tổ Tài chính - Ngân sách - Kinh tế/LUAT DAU TU CONG,2026-06-18 21:13:50.563 +0700
17052,SUA CHUA DUNG CHI TX,FOLDER,-1,/Văn bản Phường Xuân Hoà/1. Phòng Kinh Tế - Hạ Tầng và Đô Thị/2. Tổ Tài chính - Ngân sách - Kinh tế/SUA CHUA DUNG CHI TX,2026-06-18 21:14:54.666 +0700
17053,Tài sản công,FOLDER,-1,/Văn bản Phường Xuân Hoà/1. Phòng Kinh Tế - Hạ Tầng và Đô Thị/2. Tổ Tài chính - Ngân sách - Kinh tế/Tài sản công,2026-06-18 21:16:08.271 +0700
17054,Tổng kiểm kê,FOLDER,-1,/Văn bản Phường Xuân Hoà/1. Phòng Kinh Tế - Hạ Tầng và Đô Thị/2. Tổ Tài chính - Ngân sách - Kinh tế/Tổng kiểm kê,2026-06-18 21:17:18.936 +0700
16959,"3. Tổ Địa chính",FOLDER,-1,/Văn bản Phường Xuân Hoà/1. Phòng Kinh Tế - Hạ Tầng và Đô Thị/3. Tổ Địa chính,2026-06-18 18:04:52.011 +0700
16960,"1. Văn bản chung",FOLDER,-1,/Văn bản Phường Xuân Hoà/1. Phòng Kinh Tế - Hạ Tầng và Đô Thị/3. Tổ Địa chính/1. Văn bản chung,2026-06-18 18:04:52.022 +0700
16962,"2. Văn bản đặc thù Phường",FOLDER,-1,/Văn bản Phường Xuân Hoà/1. Phòng Kinh Tế - Hạ Tầng và Đô Thị/3. Tổ Địa chính/2. Văn bản đặc thù Phường,2026-06-18 18:04:52.039 +0700
16961,"3. Khác",FOLDER,-1,/Văn bản Phường Xuân Hoà/1. Phòng Kinh Tế - Hạ Tầng và Đô Thị/3. Tổ Địa chính/3. Khác,2026-06-18 18:04:52.030 +0700
16963,"4. Tổ Trật tự đô thị",FOLDER,-1,/Văn bản Phường Xuân Hoà/1. Phòng Kinh Tế - Hạ Tầng và Đô Thị/4. Tổ Trật tự đô thị,2026-06-18 18:05:14.181 +0700
17063,"15-6-2026",FOLDER,-1,/Văn bản Phường Xuân Hoà/1. Phòng Kinh Tế - Hạ Tầng và Đô Thị/4. Tổ Trật tự đô thị/15-6-2026,2026-06-18 21:28:06.044 +0700
16964,"1. Văn bản chung",FOLDER,-1,/Văn bản Phường Xuân Hoà/1. Phòng Kinh Tế - Hạ Tầng và Đô Thị/4. Tổ Trật tự đô thị/1. Văn bản chung,2026-06-18 18:05:14.189 +0700
17162,"2. Phòng Văn Hoá - Xã Hội",FOLDER,-1,/Văn bản Phường Xuân Hoà/2. Phòng Văn Hoá - Xã Hội,2026-07-06 15:52:47.451 +0700
17163,ANCS,FOLDER,-1,/Văn bản Phường Xuân Hoà/2. Phòng Văn Hoá - Xã Hội/ANCS,2026-07-06 16:02:55.388 +0700
17164,Bảo hiểm y tế,FOLDER,-1,/Văn bản Phường Xuân Hoà/2. Phòng Văn Hoá - Xã Hội/Bảo hiểm y tế,2026-07-06 16:04:16.490 +0700
29,lần 2,FOLDER,-1,/Văn bản Phường Xuân Hoà/2. Phòng Văn Hoá - Xã Hội/Bảo hiểm y tế/lần 2,2026-07-11 18:52:37.558 +0700
17165,Bảo trợ xã hội,FOLDER,-1,/Văn bản Phường Xuân Hoà/2. Phòng Văn Hoá - Xã Hội/Bảo trợ xã hội,2026-07-06 16:05:05.574 +0700
17166,Cải cách hành chính,FOLDER,-1,/Văn bản Phường Xuân Hoà/2. Phòng Văn Hoá - Xã Hội/Cải cách hành chính,2026-07-06 16:05:38.130 +0700
17167,Dân só - dươc,FOLDER,-1,/Văn bản Phường Xuân Hoà/2. Phòng Văn Hoá - Xã Hội/Dân só - dươc,2026-07-06 16:07:27.108 +0700
6,Dân Số - Dược - YHCT,FOLDER,-1,/Văn bản Phường Xuân Hoà/2. Phòng Văn Hoá - Xã Hội/Dân Số - Dược - YHCT,2026-07-11 18:21:04.007 +0700
7,Dân số,FOLDER,-1,/Văn bản Phường Xuân Hoà/2. Phòng Văn Hoá - Xã Hội/Dân Số - Dược - YHCT/Dân số,2026-07-11 18:27:25.446 +0700
22,Kế hoạch,FOLDER,-1,/Văn bản Phường Xuân Hoà/2. Phòng Văn Hoá - Xã Hội/Dân Số - Dược - YHCT/Dân số/Kế hoạch,2026-07-11 18:27:25.581 +0700
23,"11.7",FOLDER,-1,/Văn bản Phường Xuân Hoà/2. Phòng Văn Hoá - Xã Hội/Dân Số - Dược - YHCT/Dân số/Kế hoạch/11.7,2026-07-11 18:27:25.588 +0700
50,"2025",FOLDER,-1,/Văn bản Phường Xuân Hoà/2. Phòng Văn Hoá - Xã Hội/Dân Số - Dược - YHCT/Dân số/Kế hoạch/11.7/2025,2026-07-12 02:42:05.704 +0700
24,"2026",FOLDER,-1,/Văn bản Phường Xuân Hoà/2. Phòng Văn Hoá - Xã Hội/Dân Số - Dược - YHCT/Dân số/Kế hoạch/11.7/2026,2026-07-11 18:27:25.595 +0700
25,Thi ảnh,FOLDER,-1,/Văn bản Phường Xuân Hoà/2. Phòng Văn Hoá - Xã Hội/Dân Số - Dược - YHCT/Dân số/Kế hoạch/11.7/2026/Thi ảnh,2026-07-11 18:27:25.610 +0700
51,"26.12",FOLDER,-1,/Văn bản Phường Xuân Hoà/2. Phòng Văn Hoá - Xã Hội/Dân Số - Dược - YHCT/Dân số/Kế hoạch/26.12,2026-07-12 02:51:54.063 +0700
52,"2025",FOLDER,-1,/Văn bản Phường Xuân Hoà/2. Phòng Văn Hoá - Xã Hội/Dân Số - Dược - YHCT/Dân số/Kế hoạch/26.12/2025,2026-07-12 02:51:54.074 +0700
48,"3.1",FOLDER,-1,/Văn bản Phường Xuân Hoà/2. Phòng Văn Hoá - Xã Hội/Dân Số - Dược - YHCT/Dân số/Kế hoạch/3.1,2026-07-12 02:41:10.270 +0700
49,"2026",FOLDER,-1,/Văn bản Phường Xuân Hoà/2. Phòng Văn Hoá - Xã Hội/Dân Số - Dược - YHCT/Dân số/Kế hoạch/3.1/2026,2026-07-12 02:41:10.278 +0700
26,CD TTLG,FOLDER,-1,/Văn bản Phường Xuân Hoà/2. Phòng Văn Hoá - Xã Hội/Dân Số - Dược - YHCT/Dân số/Kế hoạch/CD TTLG,2026-07-11 18:27:25.620 +0700
27,"2025",FOLDER,-1,/Văn bản Phường Xuân Hoà/2. Phòng Văn Hoá - Xã Hội/Dân Số - Dược - YHCT/Dân số/Kế hoạch/CD TTLG/2025,2026-07-11 18:27:25.629 +0700
39,"2026",FOLDER,-1,/Văn bản Phường Xuân Hoà/2. Phòng Văn Hoá - Xã Hội/Dân Số - Dược - YHCT/Dân số/Kế hoạch/CD TTLG/2026,2026-07-12 02:19:32.601 +0700
45,KH năm,FOLDER,-1,/Văn bản Phường Xuân Hoà/2. Phòng Văn Hoá - Xã Hội/Dân Số - Dược - YHCT/Dân số/Kế hoạch/KH năm,2026-07-12 02:39:29.074 +0700
53,MCB GT,FOLDER,-1,/Văn bản Phường Xuân Hoà/2. Phòng Văn Hoá - Xã Hội/Dân Số - Dược - YHCT/Dân số/Kế hoạch/MCB GT,2026-07-12 02:53:49.734 +0700
54,"2026",FOLDER,-1,/Văn bản Phường Xuân Hoà/2. Phòng Văn Hoá - Xã Hội/Dân Số - Dược - YHCT/Dân số/Kế hoạch/MCB GT/2026,2026-07-12 02:53:49.746 +0700
43,NCT,FOLDER,-1,/Văn bản Phường Xuân Hoà/2. Phòng Văn Hoá - Xã Hội/Dân Số - Dược - YHCT/Dân số/Kế hoạch/NCT,2026-07-12 02:38:29.633 +0700
44,QT TEG 1.10,FOLDER,-1,/Văn bản Phường Xuân Hoà/2. Phòng Văn Hoá - Xã Hội/Dân Số - Dược - YHCT/Dân số/Kế hoạch/QT TEG 1.10,2026-07-12 02:38:56.727 +0700
46,SLST-SLSS,FOLDER,-1,/Văn bản Phường Xuân Hoà/2. Phòng Văn Hoá - Xã Hội/Dân Số - Dược - YHCT/Dân số/Kế hoạch/SLST-SLSS,2026-07-12 02:40:13.963 +0700
40,thi hanh luat DS,FOLDER,-1,/Văn bản Phường Xuân Hoà/2. Phòng Văn Hoá - Xã Hội/Dân Số - Dược - YHCT/Dân số/Kế hoạch/thi hanh luat DS,2026-07-12 02:31:12.876 +0700
47,THN,FOLDER,-1,/Văn bản Phường Xuân Hoà/2. Phòng Văn Hoá - Xã Hội/Dân Số - Dược - YHCT/Dân số/Kế hoạch/THN,2026-07-12 02:40:36.969 +0700
41,Truyền thông,FOLDER,-1,/Văn bản Phường Xuân Hoà/2. Phòng Văn Hoá - Xã Hội/Dân Số - Dược - YHCT/Dân số/Kế hoạch/Truyền thông,2026-07-12 02:33:03.664 +0700
42,"2026",FOLDER,-1,/Văn bản Phường Xuân Hoà/2. Phòng Văn Hoá - Xã Hội/Dân Số - Dược - YHCT/Dân số/Kế hoạch/Truyền thông/2026,2026-07-12 02:33:03.674 +0700
30,Kh giai đoạn,FOLDER,-1,/Văn bản Phường Xuân Hoà/2. Phòng Văn Hoá - Xã Hội/Dân Số - Dược - YHCT/Dân số/Kh giai đoạn,2026-07-12 01:37:44.813 +0700
